RESERVADA       int             (linha 1, coluna 1)
IDENTIFICADOR   local_var       (linha 29, coluna 9)
OPERADOR        =               (linha 29, coluna 19)
IDENTIFICADOR   global_var      (linha 29, coluna 21)
SEPARADOR       ;               (linha 29, coluna 31)
SEPARADOR       }               (linha 31, coluna 5)
COMENTARIO       ERRO! Tentando usar a variável local do lado de fora do bloco (linha 32, coluna 5)
IDENTIFICADOR   local_var       (linha 33, coluna 5)
OPERADOR        =               (linha 33, coluna 15)
NUMERAL         5               (linha 33, coluna 17)
SEPARADOR       ;               (linha 33, coluna 18)
RESERVADA       int             (linha 35, coluna 5)
IDENTIFICADOR   nota            (linha 35, coluna 9)
SEPARADOR       ;               (linha 35, coluna 13)
RESERVADA       float           (linha 36, coluna 5)
IDENTIFICADOR   media           (linha 36, coluna 11)
SEPARADOR       ;               (linha 36, coluna 16)
RESERVADA       char            (linha 37, coluna 5)
IDENTIFICADOR   conceito        (linha 37, coluna 10)
SEPARADOR       ;               (linha 37, coluna 18)
COMENTARIO       Teste 1: Atribuição correta (linha 39, coluna 5)
IDENTIFICADOR   nota            (linha 40, coluna 5)
OPERADOR        =               (linha 40, coluna 10)
NUMERAL         10              (linha 40, coluna 12)
SEPARADOR       ;               (linha 40, coluna 14)
COMENTARIO       Teste 2: ERRO DE TIPO - Tentando guardar string num inteiro (linha 42, coluna 5)
IDENTIFICADOR   nota            (linha 43, coluna 5)
OPERADOR        =               (linha 43, coluna 10)
LITERAL         Aprovado        (linha 43, coluna 12)
SEPARADOR       ;               (linha 43, coluna 22)
COMENTARIO       Teste 3: ERRO DE TIPO - Tentando guardar número num char (linha 45, coluna 5)
IDENTIFICADOR   conceito        (linha 46, coluna 5)
OPERADOR        =               (linha 46, coluna 14)
NUMERAL         100             (linha 46, coluna 16)
SEPARADOR       ;               (linha 46, coluna 19)
COMENTARIO       Teste 4: Expressões mistas corretas  (linha 48, coluna 5)
IDENTIFICADOR   media           (linha 49, coluna 5)
OPERADOR        =               (linha 49, coluna 11)
IDENTIFICADOR   nota            (linha 49, coluna 13)
OPERADOR        +               (linha 49, coluna 18)
NUMERAL         5               (linha 49, coluna 20)
SEPARADOR       ;               (linha 49, coluna 21)
COMENTARIO       Teste 5: ERRO DE TIPO no meio de uma conta grande (linha 51, coluna 5)
COMENTARIO       A soma envolve uma variável char, o que contamina a expressão (linha 52, coluna 5)
IDENTIFICADOR   conceito        (linha 53, coluna 5)
OPERADOR        =               (linha 53, coluna 14)
LITERAL         A               (linha 53, coluna 16)
SEPARADOR       ;               (linha 53, coluna 19)
IDENTIFICADOR   media           (linha 54, coluna 5)
OPERADOR        =               (linha 54, coluna 11)
IDENTIFICADOR   nota            (linha 54, coluna 13)
OPERADOR        +               (linha 54, coluna 18)
IDENTIFICADOR   conceito        (linha 54, coluna 20)
SEPARADOR       ;               (linha 54, coluna 28)
IDENTIFICADOR   nota            (linha 56, coluna 5)
OPERADOR        =               (linha 56, coluna 10)
IDENTIFICADOR   nota            (linha 56, coluna 12)
OPERADOR        +               (linha 56, coluna 17)
IDENTIFICADOR   media           (linha 56, coluna 19)
SEPARADOR       ;               (linha 56, coluna 24)
RESERVADA       return          (linha 58, coluna 5)
NUMERAL         0               (linha 58, coluna 12)
SEPARADOR       ;               (linha 58, coluna 13)
SEPARADOR       }               (linha 59, coluna 1)
